Survived,Pclass,Age,SibSp,Parch,Fare,Embarked,Sex_female
0,3,14,1,0,14,1,1
0,3,22,0,0,8,0,0
0,3,20,1,0,9,0,1
0,3,17,0,0,14,1,1
0,3,21,0,0,7,0,0
0,3,70,0,0,7,2,0
0,2,29,1,0,21,0,0
0,3,2,4,2,31,0,1
0,3,26,0,0,8,0,0
0,2,32,1,0,30,1,0
1,2,32,0,0,13,0,1
1,3,12,1,0,11,1,0
0,3,26,0,0,7,2,0
1,3,24,0,0,7,0,0
1,3,26,1,1,22,1,1
0,3,45,0,0,6,0,0
0,3,33,0,0,7,1,0
0,3,20,0,0,7,0,0
0,3,47,1,0,14,0,1
1,2,29,1,0,26,0,1
0,2,25,0,0,13,0,0
0,2,23,0,0,15,1,0
1,1,19,0,2,26,0,1
0,1,37,1,0,53,0,0
0,3,16,0,0,9,0,0
0,3,26,0,2,15,1,1
1,3,22,0,0,7,0,1
1,3,24,1,0,15,0,1
0,3,19,0,0,6,2,0
0,2,18,0,0,11,0,0
0,2,19,1,1,36,0,0
1,3,27,0,0,7,0,0
0,3,9,2,2,34,0,1
0,2,36,0,2,26,0,0
0,2,42,0,0,13,0,0
0,2,51,0,0,12,0,0
0,3,55,0,0,8,0,0
0,3,40,0,2,14,0,0
0,3,26,0,0,7,0,0
1,3,16,0,0,7,2,1
0,3,30,0,0,8,0,0
0,3,26,0,0,8,0,0
0,3,44,0,1,16,0,0
1,2,40,0,0,15,0,1
0,3,26,0,0,7,0,0
0,3,17,0,0,8,0,0
0,3,1,4,1,39,0,0
1,3,9,0,2,20,0,0
0,3,45,1,4,27,0,1
0,1,26,0,0,25,0,0
0,1,61,0,0,33,0,0
0,3,4,4,1,29,2,0
1,3,1,1,1,11,0,1
0,3,21,0,0,7,0,0
0,1,56,0,0,30,1,0
0,3,18,1,1,7,0,0
0,3,26,3,1,25,0,0
0,1,50,0,0,28,1,1
0,2,30,0,0,13,0,0
0,3,36,0,0,0,0,0
0,2,26,0,0,15,1,0
0,3,9,4,2,31,0,0
1,2,1,2,1,39,0,0
1,3,4,0,2,22,0,1
0,1,26,0,0,50,0,0
1,3,26,1,0,15,2,1
1,1,45,0,0,26,0,0
0,3,40,1,1,15,2,0
0,3,36,0,0,7,0,0
1,2,32,0,0,13,0,1
0,2,19,0,0,13,0,0
1,3,19,1,0,7,0,1
1,2,3,1,1,26,0,0
1,1,44,0,0,27,1,1
0,3,26,0,0,7,2,0
0,3,42,0,1,8,0,0
1,3,26,0,0,7,2,1
0,2,24,0,0,13,0,1
